id,name,description,best_label,salty,umami,sweet,sour,bitter
1,Sriracha,"A type of hot sauce or chili sauce made from a paste of chili peppers, distilled vinegar, garlic, sugar, and salt.",sour,0.1,0.32830000000000004,0.0806,0.4262,0.3109
2,Avocado,"A fruit with a creamy texture and a single large seed, known for its rich, buttery, and mildly nutty flavor.",sweet,0.0,0.10464999999999999,0.3458,0.1599,0.3442
3,Bacon,"A type of salt-cured pork, typically cut into thin strips and pan-fried or baked until crispy.",salty,0.7300000000000001,0.6925000000000001,0.08500000000000002,0.08,0.25000000000000006
4,Balsamic Vinegar,"A dark, concentrated, and intensely flavored vinegar originating in Italy, made wholly or partially from grape must.",sweet,0.0,0.19020000000000004,0.7567,0.2904,0.12060000000000001
5,Blue Cheese,A classification of cheeses that have had cultures of the mold Penicillium added so the final product is spotted or veined.,umami,0.0,0.2973,0.2592,0.2626,0.1858
6,Broccoli,"An edible green plant in the cabbage family whose large flowering head, stalk, and small associated leaves are eaten as a vegetable.",bitter,0.0,0.1313,0.2673,0.1476,0.37575000000000003
7,Butter,A dairy product made from the fat and protein components of churned cream.,sweet,0.0,0.2,0.8,0.0,0.0
8,Potato Chips,Thin slices of potato that have been either deep-fried or baked until crunchy. They are commonly served as a snack.,umami,0.0,0.2545,0.2504,0.1258,0.1946
9,Ketchup,"A sweet and tangy table sauce typically made from tomatoes, sugar, vinegar, and seasonings.",umami,0.12000000000000002,0.3178,0.27505,0.30560000000000004,0.28090000000000004
10,Wasabi,"A plant of the Brassicaceae family, which includes cabbages and horseradish. Its rhizome is used as a pungent condiment.",bitter,0.095,0.2005,0.095,0.195,0.607
11,Olives,"A small oval fruit with a hard stone and bitter flesh, green when unripe and bluish-black when ripe, used as food and as a source of oil.",sweet,0.0,0.21000000000000005,0.4,0.18000000000000002,0.26000000000000006
12,Honey,"A sweet, viscous food substance produced by honey bees and some related insects.",sweet,0.0,0.1,0.9,0.095,0.005000000000000001
13,Greek Yogurt,"A type of yogurt which has been strained to remove most of its whey, resulting in a thicker consistency and a tart flavor.",sour,0.08000000000000002,0.20000000000000004,0.42000000000000004,0.5,0.10000000000000002
14,Espresso,"A full-flavored, concentrated form of coffee that is served in ""shots.""",umami,0.0,0.5824999999999999,0.475,0.025,0.31
15,Pad Thai,A stir-fried rice noodle dish commonly served as a street food and at casual local eateries in Thailand.,umami,0.05525000000000001,0.34665,0.22365000000000004,0.0874,0.1406
16,Pickles,"A cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for a period of time.",sour,0.16000000000000003,0.1078,0.21505000000000002,0.6956000000000001,0.1509
17,Tofu,A food prepared by coagulating soy milk and then pressing the resulting curds into solid white blocks of varying softness.,umami,0.0,0.45,0.24,0.18000000000000002,0.18000000000000002
18,Ginger,"A flowering plant whose rhizome, ginger root or ginger, is widely used as a spice and a folk medicine.",bitter,0.0,0.2,0.1,0.3,0.4
19,Mango,"A stone fruit produced from numerous species of tropical trees, known for its sweet and sometimes tangy taste.",sweet,0.00285,0.10175,0.38664999999999994,0.1597,0.2263
20,Miso Soup,A traditional Japanese soup consisting of a dashi stock into which softened miso paste is mixed.,umami,0.44000000000000006,0.9000000000000001,0.14,0.1,0.14
21,Guacamole,"An avocado-based dip, spread, or salad first developed in Mexico, often containing lime juice, cilantro, and onions.",bitter,0.0,0.1172,0.3078,0.18359999999999999,0.3229000000000001
22,Salmon,A common food fish classified as an oily fish with a rich content of protein and omega-3 fatty acids.,bitter,0.11970000000000001,0.0125,0.0,0.025,0.1753
23,Red Wine,"An alcoholic beverage made from fermented grapes, known for its complex flavor profile that can include notes of fruit, oak, and tannins.",sweet,0.0,0.16500000000000004,0.6550000000000001,0.18000000000000005,0.165
24,Kale,"A green, leafy, cruciferous vegetable that is rich in nutrients, with a slightly bitter, earthy flavor.",bitter,0.0,0.11280000000000001,0.3032,0.1008,0.3964
25,Sourdough Bread,"A bread made by the fermentation of dough using naturally occurring lactobacilli and yeast, known for its characteristic tangy taste.",sour,0.03,0.3073,0.06,0.4298,0.33980000000000005
26,Hummus,"A Middle Eastern dip, spread, or savory dish made from cooked, mashed chickpeas blended with tahini, lemon juice, and garlic.",umami,0.13,0.3259,0.2758,0.13100000000000003,0.2369
27,Tiramisu,"A coffee-flavoured Italian dessert made of ladyfingers dipped in coffee, layered with a whipped mixture of eggs, sugar, and mascarpone cheese.",sweet,0.05,0.27435000000000004,0.5249999999999999,0.06995,0.097
28,Artichoke,"A variety of a species of thistle cultivated as a food, with a tender heart and a mild, slightly nutty flavor.",umami,0.08000000000000002,0.43440000000000006,0.17630000000000004,0.2237,0.314
29,Steak,"A cut of meat, typically beef, sliced perpendicular to the muscle fibers and grilled or fried.",sweet,0.0081,0.23265,0.32856,0.12891,0.15429
30,Lime,"A citrus fruit which is typically round, green in color, and contains acidic juice vesicles.",sour,0.0,0.1,0.1,0.9,0.1
31,Mayonnaise,"A thick, cold, and creamy sauce or dressing commonly used on sandwiches and composed salads, made from oil, egg yolk, and an acid.",sour,0.03,0.1025,0.06,0.225,0.055
32,Mustard,"A condiment made from whole, ground, or cracked mustard seeds, mixed with water, vinegar, or other liquids.",sour,0.06,0.1881,0.17009999999999997,0.4962,0.4068
33,Onion,"A vegetable that is the most widely cultivated species of the genus Allium, known for its pungent and sharp flavor.",sweet,0.0,0.128,0.308,0.1,0.25
34,Orange Juice,"The liquid extract of the fruit of the orange tree, produced by squeezing or reaming oranges.",sweet,0.00285,0.0861,0.33475,0.23759999999999998,0.27555
35,Peanut Butter,"A food paste or spread made from ground, dry-roasted peanuts.",sweet,0.19,0.2975,0.475,0.12,0.215
36,Popcorn,A variety of corn kernel which expands and puffs up when heated.,sweet,0.0,0.18000000000000002,0.54,0.09000000000000001,0.09000000000000001
37,Quinoa,A flowering plant in the amaranth family. It is a herbaceous annual plant grown as a crop primarily for its edible seeds.,bitter,0.0,0.1228,0.3447,0.1403,0.35090000000000005
38,Raspberry,"An edible soft fruit, consisting of a cluster of reddish-pink drupelets.",sweet,0.0038,0.12484999999999999,0.3553,0.1523,0.29055
39,Rice (White),"The polished seed of the grass species Oryza sativa. As a cereal grain, it is the most widely consumed staple food for a large part of the world's human population.",sweet,0.0,0.2025,0.38,0.025,0.025
40,Sauerkraut,"Finely cut raw cabbage that has been fermented by various lactic acid bacteria, with a distinct sour flavor.",sour,0.09000000000000001,0.29500000000000004,0.18000000000000002,0.68,0.23000000000000004
41,Shrimp,"Decapod crustaceans with elongated bodies, commonly used in cooking and known for their mildly sweet and savory flavor.",umami,0.0,0.38205,0.3078,0.17509999999999998,0.22544999999999998
42,Spinach,"A leafy green flowering plant native to central and western Asia, with a mild, slightly earthy taste.",sweet,0.0057,0.10939999999999998,0.30495,0.14279999999999998,0.3024
43,Strawberry,"A widely grown hybrid species of the genus Fragaria, known for its characteristic aroma, bright red color, juicy texture, and sweetness.",sweet,0.0,0.1275,0.3681,0.18300000000000002,0.21539999999999998
44,Sweet Potato,"A large, starchy, sweet-tasting, tuberous root vegetable.",sweet,0.095,0.2,0.76,0.115,0.115
45,Tuna (Canned),"A saltwater fish that belongs to the mackerel family, preserved in a can, often in oil or water.",umami,0.08000000000000002,0.5724999999999999,0.16000000000000003,0.10500000000000001,0.10500000000000001
46,Turkey (Roasted),"The meat from a large bird, especially one that is raised for food, cooked with dry heat in an oven.",bitter,0.010000000000000002,0.3102,0.10439999999999999,0.258,0.32520000000000004
47,Watermelon,"A large fruit of a plant of the gourd family, with smooth green skin, reddish pulp, and watery juice.",sweet,0.0,0.10300000000000001,0.76,0.21500000000000002,0.016
48,Cilantro,"An annual herb in the family Apiaceae. All parts of the plant are edible, but the fresh leaves and the dried seeds are the parts most traditionally used in cooking.",bitter,0.0,0.20000000000000007,0.10000000000000003,0.30000000000000004,0.40000000000000013
49,Anchovies,"A small, common forage fish of the family Engraulidae, often salt-cured and packed in oil.",salty,0.7200000000000001,0.6400000000000001,0.08000000000000002,0.08000000000000002,0.16000000000000003
50,Chickpeas,"An annual legume of the family Fabaceae, also known as garbanzo bean, with a nutty taste and granular texture.",umami,0.095,0.3925,0.285,0.12,0.12
