entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
bakery products,ingredient,0.0,1.0,1.0,0.0,1.0,"Category: Bakery, Molecules: 6"
bread,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 129"
rye bread,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 30"
wheaten bread,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 30"
white bread,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 13"
wholewheat bread,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 58"
wort,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage, Molecules: 63"
arrack,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 5"
beer,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 263"
bantu beer,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 13"
brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 50"
anise brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 51"
apple brandy,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 74"
armagnac brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 51"
blackberry brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 51"
cherry brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 52"
cognac brandy,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 204"
papaya brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 51"
pear brandy,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 64"
plum brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 75"
raspberry brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 52"
weinbrand brandy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 53"
gin,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 17"
rum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 195"
whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 108"
bourbon whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 114"
canadian whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 105"
finnish whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 112"
japanese whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 111"
malt whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 133"
scotch whisky,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 123"
wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 155"
bilberry wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 130"
botrytized wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 133"
champagne,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 128"
cider,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 87"
plum wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 129"
port wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 142"
red wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 167"
rose wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 134"
sake,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 35"
sherry,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 184"
sparkling wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 142"
strawberry wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 132"
white wine,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 225"
coffee,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Caffeinated, Molecules: 269"
mate,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Caffeinated, Molecules: 51"
black tea,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Beverage Caffeinated, Molecules: 85"
green tea,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Caffeinated, Molecules: 35"
roibos tea,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Caffeinated, Molecules: 13"
barley,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 141"
crispbread,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 23"
malt,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 107"
oats,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 170"
rice,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 199"
corn,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Maize, Molecules: 200"
corn oil,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Maize, Molecules: 46"
popcorn,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Maize, Molecules: 37"
sweetcorn,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Maize, Molecules: 36"
butter,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 131"
buttermilk,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 16"
cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 117"
blue cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 155"
camembert cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 132"
cheddar cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 148"
comte cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 126"
cottage cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 117"
cream cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 116"
domiati cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 114"
emmental cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 114"
feta cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 116"
goat cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 117"
gruyere cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 146"
limburger cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 116"
mozzarella cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 120"
munster cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 113"
other cheeses,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 128"
parmesan cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 165"
provolone cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 125"
romano cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 121"
roquefort cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 114"
russian cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 122"
sheep cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 116"
swiss cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 140"
tilsit cheese,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 114"
dairy products,ingredient,0.0,1.0,1.0,0.0,1.0,"Category: Dairy, Molecules: 11"
ghee,ingredient,0.0,0.0,0.0,0.0,0.0,"Category: Dairy, Molecules: 1"
milk,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 111"
milk fat,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 28"
goat milk,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Dairy, Molecules: 4"
milk powder,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 24"
sheep milk,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Dairy, Molecules: 3"
skimmed milk,ingredient,0.0,1.0,1.0,0.0,0.0,"Category: Dairy, Molecules: 5"
yogurt,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Dairy, Molecules: 31"
achilleas,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Essential Oil, Molecules: 1"
arar,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 13"
buchu,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 27"
cajeput,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 6"
camphor,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 13"
cascarilla,ingredient,0.0,0.0,0.0,1.0,0.0,"Category: Essential Oil, Molecules: 2"
cedar,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Essential Oil, Molecules: 1"
chamomile,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 187"
citronella,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 24"
citrus peel oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 57"
eucalyptus,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 43"
fir,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Essential Oil, Molecules: 2"
geranium,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 25"
grapefruit peel oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 13"
grass,ingredient,0.0,1.0,1.0,0.0,0.0,"Category: Essential Oil, Molecules: 2"
hops oil,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 108"
hyacinth,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 11"
hyssop oil,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 162"
lemon grass,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 121"
lemon peel oil,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 36"
lime peel oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 16"
lovage,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 164"
mandarin orange peel oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 23"
mastic gum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 49"
mentha oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 42"
myrrh,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 3"
neroli oil,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 15"
orange oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 34"
orris,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 10"
clary sage,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 43"
red sage,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 7"
spanish sage,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 8"
sandalwood,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Essential Oil, Molecules: 2"
sea buckthorns,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 113"
sweet grass,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 19"
valerian,ingredient,0.0,1.0,1.0,1.0,0.0,"Category: Essential Oil, Molecules: 9"
wattle,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 11"
yarrow,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Essential Oil, Molecules: 1"
ylang-ylang,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Essential Oil, Molecules: 21"
clam,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 61"
crab,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 38"
crayfish,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 32"
kelp,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 104"
krill,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 22"
lobster,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Seafood, Molecules: 6"
mollusc,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 20"
oyster,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 29"
prawn,ingredient,0.0,1.0,0.0,0.0,0.0,"Category: Seafood, Molecules: 1"
scallop,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 41"
shellfish,ingredient,0.0,1.0,0.0,0.0,0.0,"Category: Seafood, Molecules: 2"
shrimp,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 76"
trassi,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 28"
squid,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 22"
bonito,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 60"
caviar,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 26"
codfish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 7"
fish,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 47"
fatty fish,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 38"
lean fish,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 18"
fish oil,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 23"
smoked fish,ingredient,0.0,1.0,1.0,0.0,1.0,"Category: Fish, Molecules: 15"
salmon,ingredient,0.8,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 6"
artichoke,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Flower, Molecules: 101"
champaca,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Flower, Molecules: 7"
jasmine,ingredient,0.0,0.0,1.0,1.0,1.0,"Category: Flower, Molecules: 18"
lavendar,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Flower, Molecules: 46"
rose,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Flower, Molecules: 14"
apple,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 300"
apple sauce,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Fruit, Molecules: 1"
apricot,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 207"
avocado,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 134"
babaco,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 17"
banana,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 206"
beli,ingredient,0.0,0.0,1.0,0.0,0.0,"Category: Fruit, Molecules: 3"
byrsonima crassifolia,ingredient,0.0,0.0,0.0,0.0,0.0,"Category: Fruit, Molecules: 1"
cashew apple,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 7"
cherimoya,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 166"
coconut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 161"
currant,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 37"
black currant,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 213"
red currant,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 143"
white currant,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 37"
dates,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 101"
durian,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 138"
elderberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit-Berry, Molecules: 153"
feijoa,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 106"
fig,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 168"
grape,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 261"
guava,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 259"
hogplum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 102"
jackfruit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 107"
kiwifruit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 147"
litchi,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 120"
loquat,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 134"
malay apple,ingredient,0.0,1.0,1.0,0.0,0.0,"Category: Fruit, Molecules: 5"
mango,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 238"
melon,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 207"
musk melon,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 129"
naranjilla,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 110"
orange,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 245"
bitter orange,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 22"
papaya,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 241"
mountain papaya,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 54"
passionfruit,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 227"
yellow passionfruit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 40"
pawpaw,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 25"
peach,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 199"
pear,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 149"
bartlett pear,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 50"
prickly pear,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 128"
pepino,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 7"
pineapple,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 220"
plum,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 189"
plumcot,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 24"
pumpkin,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 106"
quince,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 147"
chinese quince,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 45"
raisin,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 23"
roseapple,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 105"
sapodilla,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 106"
soursop,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 118"
spineless monkey orange,ingredient,0.0,0.0,1.0,0.0,1.0,"Category: Fruit, Molecules: 20"
starfruit,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 190"
tamarind,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 164"
woodapple,ingredient,0.0,0.0,1.0,1.0,0.0,"Category: Fruit, Molecules: 6"
berry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 39"
bilberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 169"
blackberry,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 150"
blueberry,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 152"
cherry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 114"
bitter cherry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 106"
sour cherry,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 136"
