entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
deerberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 92"
ginseng,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Root, Molecules: 92"
longan,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
pepper c. baccatum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 92"
pepper c. chinense,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 92"
rambutan,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
red rice,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 92"
annual wild rice,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 92"
welsh onion,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 94"
hard wheat,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 94"
triticale,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 93"
komatsuna,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 93"
pak choy,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 96"
jostaberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 92"
kai lan,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 93"
pineappple sage,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 92"
skunk currant,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 92"
breakfast cereal,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 95"
pasta,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 95"
biscuit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Bakery, Molecules: 95"
sourdough,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 92"
spirit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Beverage Alcoholic, Molecules: 10"
beverage alcolohic other,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Beverage Alcoholic, Molecules: 2"
abalone,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fungus, Molecules: 93"
abiyuch,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 92"
acerola,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 93"
acorn,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
winter squash,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
agar,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Additive, Molecules: 93"
red king crab,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 2"
alfalfa,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 97"
amaranth,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 94"
arrowhead,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 93"
arrowroot,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 95"
atlantic herring,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 93"
atlantic mackerel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
painted comber,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
atlantic pollock,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
atlantic wolffish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
bamboo shoots,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 95"
striped bass,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
beaver,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
beech nut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
beluga whale,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
bison,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
black bear,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 1"
alaska blackfish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 1"
northern bluefin tuna,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
bluefish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
wild boar,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
bowhead whale,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 1"
breadfruit,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 94"
breadnut tree seed,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant Derivative, Molecules: 93"
rapini,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 94"
brown bear,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
buffalo,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 3"
burbot,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 95"
giant butterbur,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 95"
american butterfish,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 93"
butternut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
butternut squash,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
cardoon,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 94"
caribou,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
natal plum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
carob,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 98"
common carp,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
channel catfish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
chia,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 94"
chinese chestnut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
garland chrysanthemum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Flower, Molecules: 93"
cisco,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
nuttall cockle,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 1"
common octopus,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Seafood, Molecules: 4"
corn salad,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 93"
cottonseed,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant Derivative, Molecules: 112"
catjang pea,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 93"
squashberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 93"
atlantic croaker,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
cusk,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
cuttlefish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
mule deer,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 2"
devilfish,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fish, Molecules: 93"
dock,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 93"
dolphin fish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
freshwater drum,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
mallard duck,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
freshwater eel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
elk,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 3"
emu,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 3"
oregon yampah,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
european anchovy,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
european chestnut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 94"
turbot,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
fireweed,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 93"
florida pompano,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
ginkgo nuts,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 117"
greylag goose,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 5"
greenland halibut,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
groundcherry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 95"
grouper,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
haddock,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
hippoglossus,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
horse,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
hyacinth bean,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 93"
irish moss,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 93"
pacific jack mackerel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
japanese chestnut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
jerusalem artichoke,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 95"
jujube,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
jute,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant Derivative, Molecules: 93"
kale,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 95"
king mackerel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
lambsquarters,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 95"
leather chiton,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 2"
common ling,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
lingcod,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
white lupine,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 94"
malabar spinach,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 94"
mammee apple,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
purple mangosteen,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 95"
alpine sweetvetch,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
milkfish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
monkfish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
moose,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
moth bean,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 93"
mountain yam,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 93"
striped mullet,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
muskrat,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 2"
new zealand spinach,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable, Molecules: 93"
nopal,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
ocean pout,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
north pacific giant octopus,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 2"
ohelo berry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 93"
opossum,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
ostrich,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
spotted seal,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Seafood, Molecules: 3"
pacific herring,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
pacific rockfish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
common persimmon,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 98"
pheasant,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 5"
northern pike,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
pili nut,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Nut, Molecules: 93"
colorado pinyon,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
pitanga,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 95"
french plantain,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 105"
american pokeweed,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 95"
polar bear,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 2"
prairie turnip,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 93"
quinoa,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 94"
european rabbit,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
raccoon,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
rainbow smelt,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
rainbow trout,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
malabar plum,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 93"
rose hip,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fruit, Molecules: 97"
roselle,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 114"
orange roughy,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
sablefish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
pink salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
chum salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
coho salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
sockeye salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
chinook salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
atlantic salmon,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
salmonberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 94"
common salsify,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
spanish mackerel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
pacific sardine,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 3"
scup,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
sea cucumber,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 1"
steller sea lion,ingredient,0.0,0.0,0.0,0.0,0.0,"Category: Seafood, Molecules: 1"
bearded seal,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Seafood, Molecules: 4"
ringed seal,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 1"
sea trout,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
sesbania flower,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Flower, Molecules: 93"
american shad,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
shark,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
sheefish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
sheepshead,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
hedge mustard,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cabbage, Molecules: 93"
snapper,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
spelt,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 94"
spirulina,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Additive, Molecules: 93"
squab,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
squirrel,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
greater sturgeon,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
white sucker,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
pumpkinseed sunfish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
swordfish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
taro,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 93"
teff,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 94"
tilefish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
mexican groundcherry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 93"
towel gourd,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Gourd, Molecules: 94"
salmonidae,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
walleye,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
alaska pollock,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
whelk,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 2"
broad whitefish,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 1"
whitefish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 5"
whiting,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
wild rice,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 93"
tea leaf willow,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Herb, Molecules: 92"
winged bean,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 93"
yam,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 95"
jicama,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Vegetable Tuber, Molecules: 93"
yautia,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
yellowfin tuna,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
yellowtail amberjack,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
pollock,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
albacore tuna,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
atlantic halibut,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 3"
smelt,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 2"
clupeinae,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
spiny lobster,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 2"
black-eyed pea,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 94"
deer,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 4"
percoidei,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Fish, Molecules: 2"
perciformes,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
rabbit,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Meat, Molecules: 5"
beefalo,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 2"
bivalvia,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Seafood, Molecules: 3"
flatfish,ingredient,0.0,1.0,0.0,1.0,1.0,"Category: Fish, Molecules: 4"
walrus,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Seafood, Molecules: 1"
alaska wild rhubarb,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 93"
oriental wheat,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Cereal, Molecules: 94"
yardlong bean,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Legume, Molecules: 93"
great horned owl,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Meat, Molecules: 92"
quail,ingredient,0.0,0.0,0.0,0.0,1.0,"Category: Meat, Molecules: 3"
boysenberry,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Berry, Molecules: 93"
rowal,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Plant, Molecules: 92"
jew's ear,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fungus, Molecules: 93"
shiitake,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Fungus, Molecules: 101"
purple laver,ingredient,0.0,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 93"
wakame,ingredient,0.8,1.0,1.0,1.0,1.0,"Category: Seafood, Molecules: 94"
